                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.3141,                 4.6974,                 1.5707,                      0,                      0,                      0,                      0,                 2.7638,                 5.7753,                 2.2388,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 1.5676,                 4.8612,                 1.5786,                      0,                      0,                      0,                      0,                 2.7638,                 5.7753,                 2.2388,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 1.3872,                 4.7398,                 1.5953,                      0,                      0,                      0,                      0,                  2.763,                 5.7807,                 2.2371,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 1.5321,                 4.8059,                 1.6034,                      0,                      0,                      0,                      0,                  2.763,                 5.7807,                 2.2371,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 1.1884,                 4.6738,                 1.5266,                      0,                      0,                      0,                      0,                  2.763,                 5.7807,                 2.2371,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 1.2816,                 4.8927,                 1.5421,                      0,                      0,                      0,                      0,                 2.7412,                 5.7747,                 2.2262,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 1.2744,                 4.5949,                 1.4198,                      0,                      0,                      0,                      0,                 2.7412,                 5.7747,                 2.2262,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.0576,                 4.4773,                 1.4147,                      0,                      0,                      0,                      0,                 2.7412,                 5.7747,                 2.2262,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 1.5054,                 4.7584,                 1.6188,                      0,                      0,                      0,                      0,                 2.7727,                 5.7739,                 2.2382,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                  1.302,                 4.7431,                 1.4276,                      0,                      0,                      0,                      0,                 2.7727,                 5.7739,                 2.2382,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.5647,                 4.8632,                 1.6241,                      0,                      0,                      0,                      0,                 2.7727,                 5.7739,                 2.2382,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 1.5805,                 4.6264,                 1.6017,                      0,                      0,                      0,                      0,                 2.7907,                 5.7648,                 2.2614,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 1.5433,                 4.7343,                 1.6089,                      0,                      0,                      0,                      0,                 2.7907,                 5.7648,                 2.2614,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 1.2927,                    4.6,                 1.4682,                      0,                      0,                      0,                      0,                 2.7907,                 5.7648,                 2.2614,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 1.1293,                 4.5073,                 1.4576,                      0,                      0,                      0,                      0,                 2.7839,                  5.757,                 2.2661,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 1.3367,                 4.7123,                  1.465,                      0,                      0,                      0,                      0,                 2.7839,                  5.757,                 2.2661,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 1.5203,                 4.7229,                 1.5615,                      0,                      0,                      0,                      0,                 2.7839,                  5.757,                 2.2661,             2.2393e-05,             2.2393e-05,             2.2393e-05
